context,model,metric,reported_value,recomputed_value,absolute_difference,relative_difference,tolerance,status
EUROC_TO_UZH,Transformer,mean_paired_delta,0.1324351951,0.1324351951,3.750000310276391e-11,2.8315738180057175e-10,1e-06,PASS
EUROC_TO_UZH,Transformer,median_paired_delta,0.09632851232,0.09632851225,6.999989476952351e-11,7.266788729902344e-10,1e-06,PASS
EUROC_TO_UZH,Transformer,ci_low_delta,0.02321011596,0.02321011608,1.2124998574614132e-10,5.224014647539974e-09,1e-06,PASS
EUROC_TO_UZH,Transformer,ci_high_delta,0.2539979616,0.2539979616,2.50002241131142e-11,9.842686908048872e-11,1e-06,PASS
EUROC_TO_UZH,Transformer,wins,1,1,0,0,1e-06,PASS
EUROC_TO_UZH,Transformer,losses,7,7,0,0,1e-06,PASS
UZH_TO_EUROC,TCN,mean_paired_delta,0.01006161718,0.01006161717,1.3333324028197424e-11,1.3251670968659756e-09,1e-06,PASS
UZH_TO_EUROC,TCN,median_paired_delta,-0.003689689035,-0.00368968905,1.4999999940062958e-11,4.065383233593548e-09,1e-06,PASS
UZH_TO_EUROC,TCN,ci_low_delta,-0.009888648352,-0.009888648367,1.4666677594643573e-11,1.4831832493747446e-09,1e-06,PASS
UZH_TO_EUROC,TCN,ci_high_delta,0.03659764121,0.03659764118,2.6666641117500944e-11,7.286437113388201e-10,1e-06,PASS
UZH_TO_EUROC,TCN,wins,3,3,0,0,1e-06,PASS
UZH_TO_EUROC,TCN,losses,3,3,0,0,1e-06,PASS
UZH_TO_EUROC,GRU,mean_paired_delta,-0.01061314998,-0.01061315,2.0000006858977848e-11,1.8844553121992014e-09,1e-06,PASS
UZH_TO_EUROC,GRU,median_paired_delta,-0.01974102807,-0.0197410281,2.99999469710599e-11,1.5196750070301633e-09,1e-06,PASS
UZH_TO_EUROC,GRU,ci_low_delta,-0.03273605514,-0.03273605517,2.6666689689758272e-11,8.14596919992794e-10,1e-06,PASS
UZH_TO_EUROC,GRU,ci_high_delta,0.01225896546,0.01225896545,1.000003552187323e-11,8.157324167771355e-10,1e-06,PASS
UZH_TO_EUROC,GRU,wins,4,4,0,0,1e-06,PASS
UZH_TO_EUROC,GRU,losses,2,2,0,0,1e-06,PASS
UZH_TO_EUROC,Transformer,mean_paired_delta,0.001558064921,0.001558064917,4.333333605138767e-12,2.7812278851368652e-09,1e-06,PASS
UZH_TO_EUROC,Transformer,median_paired_delta,0.004412645299,0.0044126453,1.000017776919826e-12,2.2662546140893117e-10,1e-06,PASS
UZH_TO_EUROC,Transformer,ci_low_delta,-0.01952781952,-0.0195278195,2.0000012063148276e-11,1.0241805052870684e-09,1e-06,PASS
UZH_TO_EUROC,Transformer,ci_high_delta,0.01948118866,0.01948118863,2.6666675811970464e-11,1.3688423369526808e-09,1e-06,PASS
UZH_TO_EUROC,Transformer,wins,2,2,0,0,1e-06,PASS
UZH_TO_EUROC,Transformer,losses,4,4,0,0,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,stage2_bootstrap_mean,0.7282562381,0.7282562381,1.6666557023370387e-11,2.2885567127928718e-11,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,stage2_bootstrap_ci_low,0.5826420992,0.5826420992,3.33333360913457e-11,5.7210654940853444e-11,1e-06,PASS
WITHIN_EUROC,Best frozen Ridge,stage2_bootstrap_ci_high,0.8505713845,0.8505713845,3.333344711364816e-11,3.918947629920903e-11,1e-06,PASS
WITHIN_UZH,Best frozen Ridge,stage2_bootstrap_mean,1.943140653,1.943140653,3.749978105815899e-11,1.9298541770645046e-11,1e-06,PASS
WITHIN_UZH,Best frozen Ridge,stage2_bootstrap_ci_low,1.377703104,1.377703104,8.875011836551039e-11,6.441889991235033e-11,1e-06,PASS
WITHIN_UZH,Best frozen Ridge,stage2_bootstrap_ci_high,2.526564833,2.526564833,4.875007064697456e-10,1.9295000868467546e-10,1e-06,PASS
